,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
1400000US36047025300,2540,379,894,235,1313,326,0,11,137,98,0,11,177,106,19,27,0,11,19,27,"Census Tract 253, Kings County, New York",36,047,025300,2540,379,2046,374,755,208,1133,311,0,11,137,98,0,11,20,33,1,7,0,11,1,7,494,166,139,74,180,129,0,11,0,11,0,11,157,104,18,27,0,11,18,27,656,284,178,0,111,0,83,0,231,159
1400000US36047028800,3495,431,1547,317,8,12,0,11,1215,325,0,11,707,490,18,34,18,34,0,11,"Census Tract 288, Kings County, New York",36,047,028800,3495,431,2755,309,1423,290,8,12,0,11,1215,325,0,11,109,153,0,11,0,11,0,11,740,475,124,125,0,11,0,11,0,11,0,11,598,469,18,34,18,34,0,11,769,293,8,0,236,0,232,0,279,246
1400000US36047037300,4110,466,619,270,2638,373,9,14,60,70,0,11,726,431,58,93,6,10,52,92,"Census Tract 373, Kings County, New York",36,047,037300,4110,466,3108,416,336,169,2594,386,9,14,60,70,0,11,51,79,58,93,6,10,52,92,1002,371,283,180,44,54,0,11,0,11,0,11,675,426,0,11,0,11,0,11,1401,255,713,0,0,0,433,0,80,623
1400000US36047040500,1539,234,346,222,730,200,0,11,81,71,0,11,343,210,39,44,10,7,29,43,"Census Tract 405, Kings County, New York",36,047,040500,1539,234,772,184,60,48,643,190,0,11,69,67,0,11,0,11,0,11,0,11,0,11,767,274,286,208,87,102,0,11,12,17,0,11,343,210,39,44,10,7,29,43,437,111,259,0,49,0,16,2,16,113
1400000US36047047200,2931,350,2901,349,17,17,0,11,0,11,0,11,0,11,13,18,8,16,5,9,"Census Tract 472, Kings County, New York",36,047,047200,2931,350,2916,348,2894,349,17,17,0,11,0,11,0,11,0,11,5,9,0,11,5,9,15,20,7,12,0,11,0,11,0,11,0,11,0,11,8,16,8,16,0,11,684,679,0,0,0,0,0,5,679,0
1400000US36047049700,2776,260,2168,282,30,44,12,18,372,156,0,11,71,70,123,62,39,37,84,52,"Census Tract 497, Kings County, New York",36,047,049700,2776,260,2504,224,1987,236,30,44,0,11,372,156,0,11,38,60,77,49,18,29,59,40,272,115,181,104,0,11,12,18,0,11,0,11,33,37,46,43,21,22,25,37,281,215,0,0,23,0,0,43,203,37
1400000US36047020200,2131,230,1462,224,0,11,0,11,664,137,0,11,5,8,0,11,0,11,0,11,"Census Tract 202, Kings County, New York",36,047,020200,2131,230,2023,232,1359,227,0,11,0,11,664,137,0,11,0,11,0,11,0,11,0,11,108,81,103,81,0,11,0,11,0,11,0,11,5,8,0,11,0,11,0,11,103,103,0,0,0,0,0,0,103,0
1400000US36047024100,2375,330,1326,253,665,249,0,11,124,61,0,11,243,145,17,21,5,10,12,18,"Census Tract 241, Kings County, New York",36,047,024100,2375,330,1801,275,1154,237,507,208,0,11,124,61,0,11,4,7,12,18,0,11,12,18,574,224,172,125,158,113,0,11,0,11,0,11,239,145,5,10,5,10,0,11,512,413,39,0,26,0,34,0,405,42
1400000US36047096400,2212,337,55,30,1893,346,72,111,75,47,0,11,33,39,84,79,21,20,63,76,"Census Tract 964, Kings County, New York",36,047,096400,2212,337,2001,326,55,30,1835,338,0,11,75,47,0,11,0,11,36,29,21,20,15,24,211,203,0,11,58,66,72,111,0,11,0,11,33,39,48,73,0,11,48,73,489,0,456,0,0,0,18,15,0,66
1400000US36047016200,2560,287,1681,267,81,62,0,11,524,286,0,11,211,155,63,55,44,46,19,30,"Census Tract 162, Kings County, New York",36,047,016200,2560,287,2247,295,1601,277,70,62,0,11,524,286,0,11,17,26,35,39,16,26,19,30,313,202,80,68,11,16,0,11,0,11,0,11,194,156,28,38,28,38,0,11,281,224,0,0,50,0,7,0,222,9
