Name,Label
B17001_002E,Est: Poverty Status Past 12 Months
B17001A_002E,Est: Poverty Status Past 12 Months (White)
B17001B_002E,Est: Poverty Status Past 12 Months (Black)
B17001C_002E,Est: Poverty Status Past 12 Months (Native American)
B17001D_002E,Est: Poverty Status Past 12 Months (Asian)
B17001E_002E,Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander)
B17001F_002E,Est: Poverty Status Past 12 Months (Other)
B17001G_002E,Est: Poverty Status Past 12 Months (Two or more races)
B17001H_002E,Est: Poverty Status Past 12 Months (Non-Hispanic White)
B17001I_002E,Est: Poverty Status Past 12 Months (Hispanic or Latino)
