stationid,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
1.0,43459,4001,34281,3564,1780,1272,40,145,5695,1967,20,133,368,365,1275,829,183,323,1092,712,"Census Tract 38, New York County, New YorkCensus Tract 40, New York County, New YorkCensus Tract 42, New York County, New YorkCensus Tract 55.01, New York County, New YorkCensus Tract 55.02, New York County, New YorkCensus Tract 57, New York County, New YorkCensus Tract 59, New York County, New YorkCensus Tract 61, New York County, New York",288,488,40703,43459,4001,40557,3760,31978,3382,1688,1238,40,145,5673,1963,20,133,118,224,1040,689,55,146,985,672,2902,1282,2303,1193,92,169,0,113,22,121,0,113,250,281,235,391,128,279,107,233,3421,2436,225,10,594,0,98,58,2051,478
2.0,24969,2665,12117,2014,1344,595,55,116,9891,1785,6,76,504,407,1052,726,163,178,889,670,"Census Tract 41, New York County, New YorkCensus Tract 45, New York County, New YorkCensus Tract 47, New York County, New YorkCensus Tract 29, New York County, New YorkCensus Tract 31, New York County, New YorkCensus Tract 33, New York County, New York",216,366,22600,24969,2665,23143,2690,11074,1929,1097,467,55,116,9876,1782,6,76,60,160,975,707,100,153,875,663,1826,927,1043,678,247,320,0,81,15,89,0,81,444,379,77,129,63,120,14,89,3069,674,178,0,2122,0,30,65,624,214
3.0,25838,2903,17847,2308,1308,624,171,232,4461,1506,10,94,1221,1047,820,698,385,533,435,378,"Census Tract 104, New York County, New YorkCensus Tract 119, New York County, New YorkCensus Tract 125, New York County, New YorkCensus Tract 127, New York County, New YorkCensus Tract 131, New York County, New YorkCensus Tract 133, New York County, New YorkCensus Tract 137, New York County, New York",252,427,87600,25838,2903,21587,2639,15714,2098,1042,583,40,113,4343,1414,10,94,118,212,320,316,14,97,306,305,4251,1530,2133,1094,266,250,131,218,118,345,0,87,1103,970,500,582,371,521,129,172,3585,1874,545,38,634,10,341,143,1445,985
4.0,20928,2148,11119,1659,4935,1285,25,91,1383,789,0,77,2540,1455,926,594,210,275,716,471,"Census Tract 129.02, Kings County, New YorkCensus Tract 129.01, Kings County, New YorkCensus Tract 35, Kings County, New YorkCensus Tract 179, Kings County, New YorkCensus Tract 163, Kings County, New YorkCensus Tract 131, Kings County, New YorkCensus Tract 161, Kings County, New York",252,329,92703,20928,2148,16699,1850,10152,1607,4399,1180,20,95,1376,788,0,77,74,124,678,468,22,83,656,457,4229,1777,967,654,536,467,5,73,7,77,0,77,2466,1445,248,301,188,263,60,123,2257,838,706,0,118,0,555,40,701,779
5.0,24157,2938,1935,1208,18318,2797,64,136,196,257,23,104,3007,1576,614,622,449,503,165,256,"Census Tract 1132, Kings County, New YorkCensus Tract 1158, Kings County, New YorkCensus Tract 1126, Kings County, New YorkCensus Tract 1134, Kings County, New YorkCensus Tract 1128, Kings County, New YorkCensus Tract 1130, Kings County, New YorkCensus Tract 1156, Kings County, New York",252,329,796400,24157,2938,18232,2790,444,536,17372,2734,47,124,196,257,0,77,79,178,94,174,20,91,74,160,5925,2047,1491,908,946,704,17,89,0,77,23,104,2928,1533,520,546,429,479,91,175,8726,763,6067,32,25,0,1490,349,298,2674
6.0,16693,1717,6540,1494,2673,976,215,339,863,497,0,49,5486,1579,916,565,490,396,426,402,"Census Tract 279, Bronx County, New YorkCensus Tract 283, Bronx County, New YorkCensus Tract 285, Bronx County, New YorkCensus Tract 287, Bronx County, New York",144,20,113400,16693,1717,7247,1484,3828,972,2223,855,190,312,839,490,0,49,61,114,106,120,0,49,106,120,9446,1504,2712,1064,450,379,25,76,24,76,0,49,5425,1580,810,542,490,396,320,375,3184,1084,721,0,256,0,1002,121,595,1672
7.0,32665,3331,10902,2467,15342,2837,51,143,1768,1058,27,109,3233,1725,1342,913,313,400,1029,794,"Census Tract 193, New York County, New YorkCensus Tract 197.01, New York County, New YorkCensus Tract 197.02, New York County, New YorkCensus Tract 201.02, New York County, New YorkCensus Tract 216, New York County, New YorkCensus Tract 218, New York County, New York",216,366,122205,32665,3331,24376,3234,8857,2271,13035,2462,0,81,1768,1058,0,81,139,255,577,508,65,171,512,472,8289,2068,2045,999,2307,1299,51,143,0,81,27,109,3094,1741,765,664,248,331,517,532,9547,2182,4847,51,513,0,1517,437,1537,3468
8.0,22760,2834,2558,1049,18188,2863,47,109,543,459,0,77,900,660,524,448,33,109,491,427,"Census Tract 271, Kings County, New YorkCensus Tract 275, Kings County, New YorkCensus Tract 269, Kings County, New YorkCensus Tract 311, Kings County, New YorkCensus Tract 273, Kings County, New YorkCensus Tract 267, Kings County, New YorkCensus Tract 313, Kings County, New York",252,329,197900,22760,2834,20684,2773,2269,1057,17228,2840,47,109,504,438,0,77,165,280,471,423,0,77,471,423,2076,1159,289,280,960,770,0,77,39,119,0,77,735,603,53,110,33,109,20,79,5461,446,4458,0,180,0,211,166,442,589
9.0,26724,3433,9362,2847,563,565,0,81,13372,2986,0,81,2771,1771,656,529,158,195,498,467,"Census Tract 257, Queens County, New YorkCensus Tract 259, Queens County, New YorkCensus Tract 261, Queens County, New YorkCensus Tract 263, Queens County, New YorkCensus Tract 291, Queens County, New YorkCensus Tract 293, Queens County, New York",216,486,162400,26724,3433,17395,2961,3217,1073,326,298,0,81,13279,2957,0,81,56,111,517,486,58,122,459,453,9329,3127,6145,2669,237,370,0,81,93,168,0,81,2715,1767,139,203,100,154,39,138,5626,1892,6,0,3004,0,660,64,493,2090
10.0,4195,575,1683,497,117,133,21,51,1599,419,0,44,700,398,75,102,13,53,62,93,"Census Tract 31, Queens County, New YorkCensus Tract 51, Queens County, New YorkCensus Tract 55, Queens County, New YorkCensus Tract 171, Queens County, New York",144,324,30800,4195,575,2785,465,1024,366,81,110,9,45,1577,414,0,44,58,101,36,72,0,44,36,72,1410,493,659,333,36,65,12,50,22,54,0,44,642,400,39,80,13,53,26,71,997,298,44,12,521,0,107,15,114,307
11.0,42864,4497,17370,3283,2851,1265,90,212,16508,3113,45,176,4330,1787,1670,1098,351,396,1319,972,"Census Tract 12, New York County, New YorkCensus Tract 14.01, New York County, New YorkCensus Tract 14.02, New York County, New YorkCensus Tract 16, New York County, New YorkCensus Tract 18, New York County, New YorkCensus Tract 22.01, New York County, New YorkCensus Tract 30.01, New York County, New YorkCensus Tract 30.02, New York County, New YorkCensus Tract 36.01, New York County, New York",324,549,19208,42864,4497,33918,4124,13659,2750,2374,1102,51,174,16481,3113,45,176,130,256,1178,888,78,195,1100,844,8946,2297,3711,1682,477,541,39,152,27,137,0,114,4200,1768,492,490,273,353,219,346,10604,2577,742,51,5530,0,1366,338,1475,2641
12.0,18416,2415,3882,1646,7295,1628,43,111,547,515,41,122,5774,2060,834,729,538,581,296,299,"Census Tract 1142.02, Kings County, New YorkCensus Tract 1198, Kings County, New YorkCensus Tract 1170, Kings County, New YorkCensus Tract 1142.01, Kings County, New YorkCensus Tract 1172.01, Kings County, New YorkCensus Tract 1152, Kings County, New YorkCensus Tract 1146, Kings County, New York",252,329,812204,18416,2415,7885,1683,417,341,6330,1532,35,108,547,515,0,77,204,261,352,331,107,165,245,287,10531,2320,3465,1560,965,727,8,78,0,77,41,122,5570,2007,482,545,431,522,51,93,5238,880,1858,16,72,41,2248,123,91,3194
13.0,16901,2215,7323,1860,5954,1732,10,74,1246,845,45,123,2069,1007,254,266,114,164,140,205,"Census Tract 1168, Kings County, New YorkCensus Tract 1192, Kings County, New YorkCensus Tract 1176.01, Kings County, New YorkCensus Tract 1174, Kings County, New YorkCensus Tract 1172.02, Kings County, New YorkCensus Tract 1178, Kings County, New York",216,282,706003,16901,2215,6891,1626,543,356,4837,1473,0,66,1246,845,0,66,103,142,162,216,67,136,95,173,10010,2017,6780,1825,1117,898,10,74,0,66,45,123,1966,994,92,144,47,99,45,112,4367,1905,1741,0,227,0,469,25,120,2469
14.0,18342,2283,6874,1712,1322,862,115,193,3605,1476,0,88,5283,2061,1143,843,641,584,502,471,"Census Tract 20, Queens County, New YorkCensus Tract 22, Queens County, New YorkCensus Tract 24, Queens County, New YorkCensus Tract 26, Queens County, New YorkCensus Tract 28, Queens County, New YorkCensus Tract 30, Queens County, New YorkCensus Tract 126.02, Queens County, New YorkCensus Tract 128, Queens County, New York",288,648,40402,18342,2283,8629,1924,2989,963,990,726,0,88,3562,1468,0,88,564,536,524,491,203,251,321,349,9713,2307,3885,1543,332,378,115,193,43,129,0,88,4719,1935,619,588,438,484,181,253,2727,1123,157,49,487,0,628,283,325,1744
